vehicle_id,agent_name,vehicle_type,zone,timestamp,hour,speed_kmh,distance_km,idle_time_min,delivery_time_min,status,latitude,longitude
VH001,Agent_001,Bike,Tambaram,2024-03-08 10:10:00,10,36.0,1.47,9.7,16.7,Active,12.948099,80.109866
VH001,Agent_001,Bike,Tambaram,2024-02-07 18:05:00,18,28.3,14.53,2.2,58.5,Delayed,12.890502,80.065599
VH001,Agent_001,Bike,Tambaram,2024-02-25 15:48:00,15,49.0,3.61,10.4,42.6,Active,12.876958,80.146991
VH001,Agent_001,Bike,Tambaram,2024-01-02 10:44:00,10,39.2,5.49,16.2,15.2,Idle,12.958144,80.071234
VH001,Agent_001,Bike,Tambaram,2024-01-13 20:54:00,20,24.4,5.82,7.5,11.5,Active,12.905324,80.102476
VH001,Agent_001,Bike,Tambaram,2024-01-06 23:14:00,23,24.4,11.52,10.6,59.7,Delayed,12.918095,80.079123
VH001,Agent_001,Bike,Tambaram,2024-02-08 23:04:00,23,17.8,10.81,6.3,50.8,Delayed,12.904114,80.086636
VH002,Agent_002,Scooter,Porur,2024-03-12 16:17:00,16,33.8,1.68,7.0,41.3,Active,13.031507,80.185218
VH002,Agent_002,Scooter,Porur,2024-01-12 09:30:00,9,30.8,8.14,17.9,38.7,Idle,13.045141,80.111345
VH002,Agent_002,Scooter,Porur,2024-03-04 23:46:00,23,12.9,6.09,10.9,28.1,Active,13.046654,80.123752
VH002,Agent_002,Scooter,Porur,2024-03-07 21:50:00,21,22.8,14.03,6.5,45.5,Delayed,13.054323,80.150715
VH002,Agent_002,Scooter,Porur,2024-01-16 18:12:00,18,26.5,5.15,0.6,41.9,Active,12.998104,80.156218
VH002,Agent_002,Scooter,Porur,2024-03-23 17:35:00,17,39.9,14.7,8.6,13.6,Active,13.017071,80.158707
VH002,Agent_002,Scooter,Porur,2024-01-22 16:48:00,16,15.3,10.89,12.0,16.4,Active,13.040571,80.125185
VH002,Agent_002,Scooter,Porur,2024-01-26 13:36:00,13,38.9,10.24,1.8,14.7,Active,12.994749,80.126298
VH002,Agent_002,Scooter,Porur,2024-02-23 20:50:00,20,32.1,13.71,10.1,33.9,Active,12.990423,80.139233
VH002,Agent_002,Scooter,Porur,2024-02-18 12:30:00,12,12.3,7.1,2.1,52.3,Delayed,13.068774,80.142375
VH002,Agent_002,Scooter,Porur,2024-02-22 20:04:00,20,21.4,12.25,1.7,31.3,Active,13.013993,80.16097
VH003,Agent_003,Scooter,Porur,2024-02-14 17:59:00,17,33.9,3.38,5.6,22.3,Active,12.993355,80.205389
VH003,Agent_003,Scooter,Porur,2024-03-01 12:03:00,12,25.4,11.62,5.4,28.2,Active,13.063124,80.126572
VH003,Agent_003,Scooter,Porur,2024-02-22 17:19:00,17,42.4,3.28,7.3,10.4,Active,13.063027,80.114104
VH003,Agent_003,Scooter,Porur,2024-01-27 09:53:00,9,41.2,13.31,10.3,22.2,Active,13.021747,80.118287
VH003,Agent_003,Scooter,Porur,2024-01-21 08:11:00,8,34.0,1.88,9.0,21.8,Active,13.01899,80.113056
VH003,Agent_003,Scooter,Porur,2024-02-14 10:59:00,10,41.7,4.71,14.6,26.3,Active,13.016998,80.139218
VH003,Agent_003,Scooter,Porur,2024-01-14 08:43:00,8,39.8,14.85,3.8,42.0,Active,13.074621,80.153921
VH003,Agent_003,Scooter,Porur,2024-01-05 08:24:00,8,46.3,12.75,2.1,51.7,Delayed,12.997859,80.178024
VH003,Agent_003,Scooter,Porur,2024-01-09 08:19:00,8,34.3,1.89,15.5,30.6,Idle,13.062997,80.15608
VH003,Agent_003,Scooter,Porur,2024-01-23 20:48:00,20,48.5,2.26,8.7,22.7,Active,13.038173,80.149454
VH003,Agent_003,Scooter,Porur,2024-01-17 11:38:00,11,31.0,4.26,0.1,29.2,Active,13.017336,80.157557
VH003,Agent_003,Scooter,Porur,2024-02-12 13:42:00,13,26.4,14.29,19.5,57.1,Idle,13.076657,80.131629
VH003,Agent_003,Scooter,Porur,2024-01-23 08:38:00,8,47.7,1.27,1.6,17.6,Active,13.00878,80.114398
VH003,Agent_003,Scooter,Porur,2024-03-26 12:16:00,12,23.8,13.29,4.4,48.1,Delayed,13.014875,80.122822
VH004,Agent_004,Bike,Chromepet,2024-03-15 14:07:00,14,41.0,5.05,10.3,21.6,Active,12.981967,80.114857
VH004,Agent_004,Bike,Chromepet,2024-01-16 11:36:00,11,33.9,7.3,14.0,46.1,Delayed,12.990856,80.150134
VH004,Agent_004,Bike,Chromepet,2024-02-28 09:07:00,9,21.6,7.58,18.8,39.0,Idle,12.924394,80.138911
VH004,Agent_004,Bike,Chromepet,2024-01-04 12:09:00,12,26.1,8.75,5.9,57.8,Delayed,12.983401,80.182273
VH004,Agent_004,Bike,Chromepet,2024-03-25 15:44:00,15,30.1,4.33,7.1,18.9,Active,12.943341,80.118411
VH004,Agent_004,Bike,Chromepet,2024-03-14 22:33:00,22,27.2,1.12,16.1,44.7,Idle,12.913587,80.129962
VH004,Agent_004,Bike,Chromepet,2024-02-19 10:43:00,10,28.1,8.56,18.5,13.4,Idle,12.953479,80.166502
VH004,Agent_004,Bike,Chromepet,2024-03-05 08:43:00,8,34.8,9.68,6.7,39.1,Active,12.937963,80.193378
VH004,Agent_004,Bike,Chromepet,2024-02-19 11:12:00,11,7.0,10.14,13.8,45.3,Delayed,12.930084,80.099889
VH004,Agent_004,Bike,Chromepet,2024-02-22 10:19:00,10,29.7,9.42,6.8,34.9,Active,12.962556,80.146468
VH004,Agent_004,Bike,Chromepet,2024-02-09 17:04:00,17,27.7,10.37,12.1,57.5,Delayed,12.916089,80.145145
VH004,Agent_004,Bike,Chromepet,2024-03-22 18:13:00,18,33.6,4.5,19.9,48.7,Idle,13.000165,80.120406
VH005,Agent_005,Bike,Adyar,2024-01-08 14:35:00,14,43.7,6.16,1.3,48.8,Delayed,12.974964,80.279322
VH005,Agent_005,Bike,Adyar,2024-02-01 19:03:00,19,39.0,6.08,17.3,46.4,Idle,12.987978,80.269731
VH005,Agent_005,Bike,Adyar,2024-02-08 23:36:00,23,37.0,4.93,9.4,25.3,Active,12.960229,80.29003
VH005,Agent_005,Bike,Adyar,2024-03-27 22:24:00,22,56.3,5.69,16.2,12.4,Idle,12.983278,80.225152
VH005,Agent_005,Bike,Adyar,2024-03-03 18:02:00,18,31.2,1.1,10.6,35.5,Active,13.018956,80.208159
VH005,Agent_005,Bike,Adyar,2024-02-16 22:25:00,22,24.0,5.4,1.5,15.2,Active,13.002409,80.22915
VH005,Agent_005,Bike,Adyar,2024-03-04 16:44:00,16,17.3,5.69,4.3,23.6,Active,13.020294,80.245174
VH005,Agent_005,Bike,Adyar,2024-02-21 09:27:00,9,35.7,8.54,8.0,55.2,Delayed,13.044873,80.220252
VH005,Agent_005,Bike,Adyar,2024-03-16 10:59:00,10,20.6,0.53,14.2,11.0,Active,13.043669,80.294234
VH005,Agent_005,Bike,Adyar,2024-01-08 23:06:00,23,26.1,7.59,2.2,26.3,Active,12.976994,80.272498
VH005,Agent_005,Bike,Adyar,2024-01-11 15:06:00,15,32.7,11.05,16.4,14.7,Idle,13.004165,80.230685
VH005,Agent_005,Bike,Adyar,2024-01-11 11:55:00,11,45.7,13.0,1.1,19.6,Active,12.96051,80.296222
VH005,Agent_005,Bike,Adyar,2024-03-22 15:04:00,15,33.1,10.0,3.8,11.2,Active,12.985103,80.241421
VH006,Agent_006,Scooter,OMR,2024-02-08 08:17:00,8,39.4,4.85,19.7,55.8,Idle,12.923596,80.267611
VH006,Agent_006,Scooter,OMR,2024-03-05 17:54:00,17,33.0,0.75,18.8,55.7,Idle,12.915203,80.186314
VH006,Agent_006,Scooter,OMR,2024-03-20 15:45:00,15,34.2,14.53,16.1,27.2,Idle,12.867163,80.267755
VH006,Agent_006,Scooter,OMR,2024-02-02 12:21:00,12,33.5,2.72,19.0,52.4,Idle,12.851506,80.193981
VH006,Agent_006,Scooter,OMR,2024-03-07 18:49:00,18,21.4,12.06,11.4,20.0,Active,12.905873,80.24709
VH006,Agent_006,Scooter,OMR,2024-02-21 16:43:00,16,15.7,2.65,4.7,24.2,Active,12.922218,80.201625
VH006,Agent_006,Scooter,OMR,2024-02-04 08:59:00,8,37.9,11.91,9.1,37.2,Active,12.88354,80.252549
VH007,Agent_007,Bike,Adyar,2024-03-06 10:58:00,10,41.6,13.78,17.0,14.1,Idle,13.016961,80.263331
